"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204351_at","204351_at","S100P",1.45198396425753,12.1097746314643,6.64701228455432,2.23498115375837e-07,0.00498020850491979,6.67134488124349
"200700_s_at","200700_s_at","KDELR2",0.81030295096922,10.7714134520962,6.03736537280697,1.21831681755435e-06,0.00691003077468522,5.20090370427548
"203305_at","203305_at","F13A1",-0.829556025716956,7.85247558769436,-6.00409330496952,1.33752630518486e-06,0.00691003077468522,5.119487860988
"212531_at","212531_at","LCN2",2.02503553862242,10.6589269531148,5.95318082209508,1.54311203267246e-06,0.00691003077468522,4.99470266301227
"221269_s_at","221269_s_at","SH3BGRL3",0.700223322961193,10.7382778837816,5.90879373676363,1.74819127068312e-06,0.00691003077468522,4.88571607923309
"201543_s_at","201543_s_at","SAR1A",0.498944307329726,8.30948327422668,5.85039380831872,2.06045184334119e-06,0.00691003077468522,4.74205682578705
"213476_x_at","213476_x_at","TUBB3",0.576180576886829,10.5581373380579,5.7959194833104,2.40220259427697e-06,0.00691003077468522,4.60779334309826
"211429_s_at","211429_s_at","SERPINA1",0.960841713405065,9.95994893806862,5.77375645489178,2.55707713863779e-06,0.00691003077468522,4.55309862431663
"214142_at","214142_at","ZG16",1.59582931240864,12.6152258599399,5.74272830021255,2.79092927218808e-06,0.00691003077468522,4.47646117645823
"203649_s_at","203649_s_at","PLA2G2A",1.25926112565278,12.4551634093508,5.68881128731311,3.24963622438373e-06,0.00724116439879428,4.34311561216419
"208977_x_at","208977_x_at","TUBB4B",0.56874354338175,11.8497407025258,5.64050309160043,3.72470204400371e-06,0.00754523051332134,4.22346246381164
"202150_s_at","202150_s_at","NEDD9",0.696264967558529,8.59819858769886,5.58565577703781,4.34927694613503e-06,0.00807624484922725,4.08741965850538
"211882_x_at","211882_x_at","FUT6",0.650900604337076,8.50121668855462,5.51938147183367,5.24601468054259e-06,0.0089920727020408,3.92277859441857
